Asset,Covariance_Diagonal,Expected_Return_Penalty,Downside_Risk_Penalty,Total_Linear_Term
20MICRONS,0.23752350056361365,-0.10815146666109379,0.09194181869864508,-0.01620964796244871
3MINDIA,0.09114022796084797,-0.16663017685211562,0.0570529260256966,-0.10957725082641902
A2ZINFRA,0.3662993027957463,0.3127441533982553,0.12316086724531157,0.43590502064356684
AARTIDRUGS,0.16178207856024138,-0.25677109538522586,0.07453747262864277,-0.18223362275658309
AARTIIND,0.11861017888697685,-0.3154212810321541,0.06781224993701646,-0.24760903109513765
ABAN,0.23418996111434218,0.23361632654656006,0.09497418017312835,0.3285905067196884
ACC,0.07681757295859949,-0.04600074284748593,0.058460971729329,0.012460228881843068
ACE,0.2888408417304355,-0.18913825018908698,0.10082389917171876,-0.08831435101736822
ADANIENT,0.5424818001538367,-0.08955779728506157,0.19127578904623962,0.10171799176117806
ADFFOODS,0.21801200226174738,-0.2108132030926566,0.08795189557949351,-0.1228613075131631
ADOR,0.18984791561793357,-0.13452107367625435,0.08079417640339899,-0.05372689727285536
ADROITINFO,0.20944100815314853,0.11051181712873032,0.09906783230657062,0.20957964943530094
AEGISLOG,0.21326628478074142,-0.21891308247163876,0.08626721637849999,-0.13264586609313878
AGI,0.30833843845588016,-0.09774356898568104,0.13069079504276662,0.03294722605708558
AHLUCONT,0.21212074174702378,-0.11621275104816245,0.09034432352606779,-0.02586842752209466
AJANTPHARM,0.12825342408631651,-0.3577253487776829,0.06812405653174525,-0.28960129224593767
AKSHOPTFBR,0.2732540410373715,-0.034830701603335144,0.10393061234810588,0.06909991074477073
AKZOINDIA,0.06181072612943086,-0.10539440832106162,0.049413695071323344,-0.05598071324973827
ALEMBICLTD,0.2334098795938904,-0.1201332322679134,0.09248587796193507,-0.02764735430597834
ALICON,0.2531480948736925,-0.21827762228946043,0.09919327822217135,-0.11908434406728909
ALKALI,0.33547886664109305,-0.062486593935478445,0.10299905143671213,0.04051245750123369
ALKYLAMINE,0.18259103381613484,-0.42049089870375106,0.07730898668287862,-0.34318191202087245
ALLCARGO,0.16294613420051782,-0.13161929559546376,0.080322919558492,-0.051296376036971764
ALLDIGI,0.29463095581912807,-0.25089929520995746,0.10412364039800669,-0.14677565481195076
AMBIKCO,0.13877621245216967,-0.1693179770006163,0.07163818012718852,-0.09767979687342777
AMBUJACEM,0.10134763715173332,-0.0863563083066731,0.06867152326087807,-0.01768478504579503
AMDIND,0.3312374075473464,-0.0865398703791796,0.11204853243535677,0.025508662056177175
AMJLAND,0.3285572586310494,-0.042064137143501774,0.11081653616340396,0.06875239901990218
ANANTRAJ,0.28231643609226925,-0.07759624172820999,0.10542989046958691,0.02783364874137692
ANDHRSUGAR,0.16355254925950916,-0.1618026398957267,0.07868083342261782,-0.08312180647310889
ANTELOPUS,0.19117963901292356,0.01793827547411477,0.08390510183444794,0.1018433773085627
APARINDS,0.17510290467559342,-0.21315337350493632,0.07816653704982658,-0.13498683645510973
APCOTEXIND,0.18837422918162305,-0.30059995929964034,0.07795672961155146,-0.22264322968808886
APOLLOTYRE,0.15483927242335405,-0.128136754174719,0.08486028237423086,-0.043276471800488145
APTECHT,0.25753526981136154,-0.09826420150281497,0.09590206698060842,-0.0023621345222065437
ARCHIDPLY,0.3709590748986422,-0.13580941647236053,0.11697675547061162,-0.018832661001748907
ARIES,0.27694068186485354,-0.023988733888077936,0.09979758381719096,0.07580884992911302
ASAHIINDIA,0.15544177353209687,-0.1525984523705344,0.07697521350584756,-0.07562323886468685
ASAHISONG,0.24144782319287153,-0.06862721507104011,0.09668147829824163,0.028054263227201517
ASAL,0.2942164679864725,-0.13260846553012684,0.10694917293097438,-0.025659292599152464
ASHAPURMIN,0.3169160983216361,-0.10387413628399474,0.10826424447732473,0.004390108193329995
ASHIANA,0.16465178265888825,-0.13626865527671994,0.07963302998714489,-0.05663562528957505
ASHIMASYN,0.41608336903943405,-0.13018169389546774,0.12474222391296075,-0.005439469982506995
ASHOKLEY,0.21690814615547438,-0.15369341742204023,0.09696037797424738,-0.05673303944779286
ASIANHOTNR,0.17926375371831535,0.09669344100813612,0.08459772615677515,0.18129116716491128
ASIANTILES,0.28574442446646353,-0.02297187943070703,0.10877958441590337,0.08580770498519634
ASTEC,0.28287092610233555,-0.2791271675045457,0.09887050993486705,-0.18025665756967862
ASTRAMICRO,0.20120766280037855,-0.161402968656438,0.08455322890222146,-0.07684973975421654
ASTRAZEN,0.14998643531858805,-0.09032344554752694,0.07167509888532186,-0.01864834666220508
ATLANTAA,0.2861251955849174,0.16948508280282445,0.10758778182842628,0.27707286463125075
AURIONPRO,0.2828617456684984,-0.039678276673445485,0.10260917431075449,0.062930897637309
AUROPHARMA,0.16220303105181758,-0.13168226685288317,0.08362289988149846,-0.048059366971384715
AUSOMENT,0.34914851363370314,-0.03465650807746322,0.11514057840019741,0.08048407032273419
AUTOAXLES,0.16127358448682944,-0.1539996632677669,0.0767407072305631,-0.0772589560372038
AVTNPL,0.23910430941337268,-0.22972786890587552,0.09355958855438158,-0.13616828035149392
AXISBANK,0.1288473484448446,-0.09924333356939892,0.076465936280551,-0.022777397288847923
BAGFILMS,0.3484950498511455,0.042093445688920345,0.11465924211054229,0.15675268779946264
BAJAJ-AUTO,0.06557617585150831,-0.0845412925170806,0.053351489404386374,-0.03118980311269423
BAJAJCON,0.10814129508543675,-0.05069277635992792,0.06522215017435257,0.014529373814424644
BAJAJFINSV,0.119719219888026,-0.26678385348216943,0.07085751933750274,-0.1959263341446667
BAJAJHIND,0.26617295852736006,0.1290363514426294,0.1010564665535977,0.2300928179962271
BAJAJHLDNG,0.08391865370623736,-0.17722941064343603,0.06120185474991466,-0.11602755589352137
BALAMINES,0.25094521467929115,-0.32791754478840907,0.09470906812002372,-0.23320847666838534
BALKRISIND,0.1172067845606848,-0.28584757634800284,0.06822385265468121,-0.2176237236933216
BALMLAWRIE,0.08999161552213737,-0.06770092809478434,0.05751385987951916,-0.010187068215265181
BALPHARMA,0.31298778817944645,-0.0857482208566936,0.10497031360435666,0.019222092747663053
BALRAMCHIN,0.2123691285279844,-0.14633693796437147,0.09314071124735927,-0.0531962267170122
BANARISUG,0.14390829887651954,-0.11975623312621618,0.07448595125659148,-0.0452702818696247
BANCOINDIA,0.18987851679867096,-0.10820444615481703,0.08748146185718478,-0.020722984297632252
BANKBARODA,0.17637105701231798,0.009189728524027607,0.08730781609028948,0.09649754461431709
BANKINDIA,0.20169644692898334,0.15919855106016406,0.09343051588030905,0.2526290669404731
BANSWRAS,0.23331925000136874,-0.05716841283883956,0.09440850178736919,0.03724008894852963
BASF,0.12687229877397702,-0.13175935561996072,0.06578959525291554,-0.06596976036704517
BASML,0.23075949825487033,-0.008563435782045157,0.09678424538616276,0.0882208096041176
BATAINDIA,0.08860705389307201,-0.17762291730293822,0.06014162235812144,-0.11748129494481678
BAYERCROP,0.07966391589756655,-0.13394850761586058,0.054122982265687423,-0.07982552535017315
BBOX,0.32425565273870427,-0.14073329829842507,0.10630496270829201,-0.03442833559013306
BBTC,0.2012057492356517,-0.19573757872331252,0.08438386737507104,-0.11135371134824147
BEDMUTHA,0.3657245951105072,0.07876050172263559,0.1216357595489014,0.20039626127153698
BEL,0.12361857008663063,-0.14497491754304206,0.07105209387592358,-0.07392282366711848
BEPL,0.3318374711951085,-0.08564167560884688,0.11386724566156912,0.02822557005272225
BERGEPAINT,0.09705675807041927,-0.2494375224373469,0.06159370048739245,-0.18784382194995447
BFINVEST,0.31482233272441673,-0.13583700267905258,0.10383637473652084,-0.03200062794253174
BFUTILITIE,0.28493528202895724,0.06813615332461598,0.10552115203276417,0.17365730535738017
BGRENERGY,0.27447285946017136,0.18327528635053145,0.10254547647259747,0.2858207628231289
BHARATFORG,0.1267398026102993,-0.13452489581558288,0.07314117861970072,-0.06138371719588216
BHARTIARTL,0.10021487568435188,-0.07569456118153191,0.06415664461466315,-0.011537916566868756
BHEL,0.18549467048469348,0.10664214717681177,0.0918159727145096,0.19845811989132137
BIL,0.21558913059865548,-0.10760394878896803,0.09187123905668286,-0.015732709732285174
BIOCON,0.10510423661124083,-0.1195539062612585,0.06577433252111616,-0.05377957374014235
BIRLACABLE,0.3144559719426461,-0.16069722224915692,0.10899615022530774,-0.05170107202384917
BIRLACORPN,0.14182298453460948,-0.08858800630401661,0.07358343723810665,-0.015004569065909967
BIRLANU,0.1554571257049343,-0.15575497316065987,0.07686900966281347,-0.07888596349784639
BLISSGVS,0.2165403393509274,-0.09708781563237852,0.0958436163700853,-0.0012441992622932163
BLUESTARCO,0.09475389129279604,-0.12864068271462456,0.06031311871191135,-0.06832756400271321
BOMDYEING,0.2539725661002249,0.012412702146716683,0.10317530427462228,0.11558800642133896
BOSCHLTD,0.07881768138855134,-0.09305139534832106,0.05591246632985094,-0.03713892901847012
BPCL,0.1487719543161449,-0.12257642739016579,0.08239746375730712,-0.040178963632858666
BPL,0.3680946608762499,-0.07883293053129548,0.1123015658127458,0.03346863528145032
BRIGADE,0.17553328599794527,-0.16692911732349586,0.08056647718004488,-0.08636264014345098
BROOKS,0.3443115624065137,-0.021179560051940976,0.1105841231453721,0.08940456309343112
BSL,0.35548598911890206,-0.17310247754076735,0.11241975588580955,-0.060682721654957805
CALSOFT,0.2745571116223633,0.07729736884988654,0.10872752946252702,0.18602489831241356
CANFINHOME,0.16742689228131838,-0.28649761053576417,0.07976168681857734,-0.20673592371718683
CANTABIL,0.26444304436591104,-0.26032420385020905,0.09330692702036757,-0.16701727682984147
CARBORUNIV,0.10194975147164735,-0.18163670506944996,0.06218945010762247,-0.11944725496182748
CARERATING,0.1160237619021755,0.025225261213571337,0.07196074171105189,0.09718600292462323
CCL,0.1451208772984104,-0.283717065371208,0.07293120934399314,-0.21078585602721486
CEATLTD,0.15631025363683523,-0.2194401322976269,0.07540000047079233,-0.14404013182683456
CELEBRITY,0.45041655654462165,0.0192513553120562,0.138237017844167,0.15748837315622322
CEMPRO,0.21742237566238845,-0.14694889910018974,0.09121844998707561,-0.05573044911311413
CENTENKA,0.15384573998105391,-0.060963757331086575,0.0789478462490876,0.017984088918001025
CENTRALBK,0.18690560230378997,0.1434280909058101,0.08842153648416319,0.23184962738997328
CERA,0.11860472282562264,-0.31014362636856163,0.06612553910219338,-0.24401808726636826
CESC,0.11526005273256604,-0.08007062982331019,0.0713244176548806,-0.008746212168429593
CGPOWER,0.4709422794982585,-0.09906631681766467,0.15339446557752565,0.05432814875986097
CHENNPETRO,0.21513619700183412,-0.021491854533729815,0.09284897185505857,0.07135711732132875
CINELINE,0.4073318700708562,-0.07949922110737304,0.1290998690816064,0.04960064797423336
CIPLA,0.06772974463517989,-0.09035839137331947,0.05199951862590427,-0.0383588727474152
COALINDIA,0.10600187508628524,0.037005850602003884,0.0696301759612191,0.10663602656322299
COLPAL,0.04854208046693658,-0.10680481212035002,0.04351314402458328,-0.06329166809576674
COMPUSOFT,0.29220185835278417,-0.020706635681021966,0.10161408911097926,0.0809074534299573
CONSOFINVT,0.24402989011342502,-0.021899529433777022,0.0965972821040968,0.07469775267031978
CORDSCABLE,0.3251515274593028,-0.06658341756534907,0.10916788898921483,0.04258447142386576
CPCAP,0.2352688032417443,0.053866139494807654,0.09077449635752977,0.1446406358523374
CTE,0.3057345410554633,-0.10361011860507176,0.10908322845199608,0.005473109846924326
CUB,0.0963575039332921,-0.11971591060552016,0.06453121666170702,-0.05518469394381313
CUMMINSIND,0.08912751930902635,-0.10634118374841522,0.05996066380589715,-0.04638051994251807
CYBERTECH,0.3397665282348852,-0.18593237268134302,0.10463287821667243,-0.0812994944646706
CYIENT,0.11740284081026618,-0.1486808855916001,0.0687101355895765,-0.07997075000202358
DABUR,0.05787177717927792,-0.14323976656593934,0.04884802837487918,-0.09439173819106017
DALMIASUG,0.2716579300859729,-0.22390101101549847,0.09999912858074599,-0.12390188243475249
DBREALTY,0.37027112085381236,0.04544598577818066,0.12432736599057488,0.16977335176875555
DCM,0.2760883805997853,0.006098235776393585,0.1106228645848618,0.11672110036125538
DCMSHRIRAM,0.21686902289110918,-0.2538175043699603,0.0926835935793584,-0.1611339107906019
DCW,0.2871305884491437,-0.12408882255012763,0.10234609248294706,-0.02174273006718057
DECCANCE,0.1686692829596036,-0.1563392651085872,0.08313968468215154,-0.07319958042643566
DELTAMAGNT,0.31399468653524315,-0.0566724391607337,0.11506431899128128,0.058391879830547576
DENORA,0.29748508520050443,-0.20661079372868563,0.1023309904389292,-0.10427980328975643
DHAMPURSUG,0.27562765356553715,-0.10339548405518688,0.10324973088331094,-0.0001457531718759425
DHANBANK,0.20318073312232676,0.16263819482050623,0.0859390223525583,0.24857721717306452
DHANUKA,0.11633095739305549,-0.1672941862601432,0.06604821463278146,-0.10124597162736174
DIVISLAB,0.09422512039865975,-0.18499409901662453,0.06617946519519588,-0.11881463382142865
DLF,0.2262320793498111,-0.03550628358149617,0.10465202277882202,0.06914573919732585
DLINKINDIA,0.2647549456695336,-0.17260630641114685,0.09716415044193612,-0.07544215596921074
DONEAR,0.29715486130647983,-0.10508547666706872,0.10409187623934263,-0.000993600427726088
DPSCLTD,0.3087253792943566,-0.035162982195569334,0.10754871754745085,0.07238573535188152
DREDGECORP,0.21429737899830212,0.0045495718555665044,0.08466831468970325,0.08921788654526976
DSSL,0.404055006848137,-0.22350545788294113,0.12492605458118948,-0.09857940330175165
DUCON,0.46188792726090633,-0.0604365344298698,0.1399731619081777,0.07953662747830792
DVL,0.20799179951514588,-0.039486223165127746,0.08832167406058716,0.04883545089545942
DWARKESH,0.31145404521282466,-0.21669363684691678,0.1065978056820474,-0.11009583116486939
DYNAMATECH,0.22439076969392485,-0.07413535991829705,0.09011277580335358,0.015977415885056537
ECLERX,0.12855558538951142,-0.12442202122923168,0.06992527428250296,-0.05449674694672872
EDELWEISS,0.22736609332276594,-0.03668963537067177,0.09807743921766242,0.06138780384699065
EICHERMOT,0.10447870800611413,-0.28209743459069425,0.06353689102509977,-0.21856054356559448
EIDPARRY,0.1428662915268133,-0.07253449861550558,0.07254880884619788,1.4310230692302084e-05
EKC,0.34607011509342694,-0.004648647843467558,0.11395484838281934,0.10930620053935179
ELECTCAST,0.23178412460873477,-0.004976428580232324,0.09522684768837059,0.09025041910813826
ELGIEQUIP,0.14240657164971068,-0.19988730356190543,0.07092593727896548,-0.12896136628293994
ELGIRUBCO,0.42465152527175826,-0.10847604053632957,0.10005253859679232,-0.008423501939537253
EMAMILTD,0.10033608611314188,-0.0955537322555906,0.06329841592822294,-0.03225531632736767
EMBDL,0.34605751998818646,0.0413371936270079,0.12093571525173903,0.16227290887874693
EMKAY,0.3278861163901794,-0.01248764755279172,0.11381497158058702,0.1013273240277953
EMMBI,0.2464556350765219,-0.15798949774504017,0.09414682980425353,-0.06384266794078665
ENGINERSIN,0.12227177010587822,0.05672034059628758,0.07325338230939978,0.12997372290568737
EPL,0.1503733910343838,-0.16406862983888876,0.07488005357217987,-0.08918857626670888
ESABINDIA,0.15404582382172344,-0.17974393938620345,0.0715349429492138,-0.10820899643698965
ESCORTS,0.1802658457667785,-0.2244655276174459,0.08432059814781032,-0.14014492946963558
ESSARSHPNG,0.25415636090981925,0.10082716646040935,0.09237038947559373,0.19319755593600307
ESTER,0.2807882489748414,-0.0639742354773213,0.10366612551553327,0.03969189003821197
EVERESTIND,0.19482385159629034,-0.14441852753539647,0.08611643732680986,-0.05830209020858661
EXCEL,11.84485493544314,0.13632885846500564,0.7301970137150888,0.8665258721800945
EXIDEIND,0.0893506064729873,-0.0222093797239979,0.06304852102912932,0.040839141305131416
FDC,0.1071063027017788,-0.07435753409684308,0.06308113298439055,-0.011276401112452525
FEDERALBNK,0.13693384209747292,-0.10611639262548996,0.07831223966328668,-0.027804152962203274
FELDVR,1.193784258328143,0.1103110929800046,0.23028311727450412,0.34059421025450876
FIEMIND,0.15660702061013546,-0.1989147672387846,0.0738140577160369,-0.1251007095227477
FILATEX,0.2913849252674354,-0.19080904008179075,0.10642167837742757,-0.08438736170436319
FINPIPE,0.12433548631246023,-0.19007328772477336,0.06889432249774523,-0.12117896522702813
FLEXITUFF,0.2594213998058146,0.15113539002042328,0.10468733404943051,0.2558227240698538
FMGOETZE,0.13273314502321187,-0.048277516412437035,0.06907943948307617,0.020801923070639133
FMNL,0.41832086933305374,0.18862926533011878,0.1269196267579084,0.31554889208802717
FORTIS,0.12486081331638174,-0.04492636201415322,0.07110542037476703,0.026179058360613808
FOSECOIND,0.10687431283991372,-0.14211312190156214,0.060941863764729626,-0.08117125813683251
GABRIEL,0.17791812389342918,-0.16789754884145297,0.07957425065488612,-0.08832329818656685
GAEL,0.241514825153292,-0.23601541453597266,0.09477383802095611,-0.14124157651501656
GAIL,0.11342318520537394,-0.02110851413845912,0.07123393173709076,0.05012541759863164
GALLANTT,0.24813552551651538,-0.08963599767503129,0.095001368002766,0.005365370327734709
GANDHITUBE,0.14835782122452656,-0.12911674606296314,0.07423566737349058,-0.05488107868947256
GANESHHOU,0.30120975355483764,-0.0925574938608827,0.10237940968666588,0.009821915825783178
GARFIBRES,0.14671844012644972,-0.3337208267632728,0.07278360441684704,-0.26093722234642575
GENESYS,0.34605098690031816,-0.0625551987619266,0.11345758885341903,0.05090239009149243
GENUSPOWER,0.2772273475078815,-0.14463952935815422,0.10174400076906971,-0.042895528589084506
GFLLIMITED,0.6666821723305753,0.03555780950161999,0.20892775646778575,0.24448556596940574
GHCL,0.16350208596495366,-0.21791538891166107,0.07936077614331975,-0.1385546127683413
GICHSGFIN,0.15986569748446694,-0.043813466095021465,0.0788334026940527,0.035019936599031236
GILLANDERS,0.21725302091938362,0.04645313261000629,0.09488612343575994,0.14133925604576625
GINNIFILA,0.3627281056987771,-0.048991482293719225,0.11578383820178523,0.06679235590806601
GIPCL,0.09761135716399737,0.011534245604625099,0.06314520229906255,0.07467944790368765
GKWLIMITED,0.2364657268609846,0.006925524197134265,0.09247186705793439,0.09939739125506866
GLAXO,0.050454545309705286,-0.016679194256006873,0.044648336552333884,0.02796914229632701
GLENMARK,0.12039059015990904,-0.03671580481633964,0.07355145817371074,0.0368356533573711
GLOBUSSPR,0.25801455771302434,-0.16230712033060887,0.09786615341014923,-0.06444096692045964
GMBREW,0.2441361614637152,-0.20375671581530788,0.09113011406257528,-0.1126266017527326
GMDCLTD,0.15495013355292694,-0.008458401952723425,0.07884626841263152,0.0703878664599081
GMRAIRPORT,0.20932416923922056,-0.002483838091424986,0.095314255748598,0.09283041765717302
GNFC,0.2765355354189326,-0.17570456090204523,0.1065487350911863,-0.06915582581085893
GOCLCORP,0.34976371537132217,-0.229174012838695,0.08736813707780873,-0.14180587576088627
GODFRYPHLP,0.17874593172720848,-0.13538241417904678,0.08006144019392436,-0.055320973985122424
GODREJCP,0.09610522666401354,-0.17325001217613892,0.0631915222977899,-0.11005848987834901
GODREJIND,0.09922589279183665,-0.07371641434118395,0.06449724767885276,-0.00921916666233119
GOKUL,0.37767379593430667,0.09217390838034802,0.12142648513291199,0.21360039351326
GOLDIAM,0.28459303165259575,-0.2482570780902785,0.09877234188500744,-0.14948473620527106
GPPL,0.1313222968944888,-0.050590552653372194,0.07143441254417388,0.02084385989080168
GRAPHITE,0.1951004379976103,-0.10027731568698668,0.08552327936185036,-0.014754036325136319
GREAVESCOT,0.1424280571387946,-0.031025712029234542,0.07447613065465852,0.04345041862542398
GREENPOWER,0.2678098715343135,0.08295434205638065,0.10229219662070102,0.18524653867708168
GRINDWELL,0.08672970738603877,-0.23726499200668436,0.0563324984615128,-0.18093249354517155
GSFC,0.15794958297971354,-0.04662343643542182,0.08039534032924942,0.033771903893827594
GSPL,0.10849138192403211,-0.08752901702093266,0.06553652548498089,-0.021992491535951772
GSS,0.35670222232494964,-0.029742541384710466,0.11654769248000384,0.08680515109529337
GTL,0.42081625501546227,0.36964117542695335,0.14692538584599404,0.5165665612729474
GTLINFRA,0.5482334020005916,0.329313626501005,0.15817621258672881,0.4874898390877338
GUFICBIO,0.33754682313386664,-0.29889328510008956,0.10667842697199438,-0.1922148581280952
GUJALKALI,0.15167279605603867,-0.14067479519696868,0.07562009177682262,-0.06505470342014606
GUJGASLTD,0.12384269550660743,-0.15449081983550597,0.06774757468252648,-0.08674324515297949
GULFPETRO,0.3310231225024135,-0.10214146484589157,0.10429600954195153,0.002154544696059968
GVKPIL,0.32787060812126956,0.19172027688062893,0.10449516162225919,0.2962154385028881
GVPIL,0.12972579668027417,0.13482298530399217,0.07639858114043127,0.21122156644442344
GVT&D,0.15934037988808727,0.05401957536151169,0.08004609298238181,0.1340656683438935
HATHWAY,0.24758153232315844,0.026123312570190592,0.09262338963169092,0.11874670220188152
HAVELLS,0.10316643637714247,-0.24091695327424262,0.06528633401868764,-0.17563061925555498
HCC,0.33943906835143856,0.07244305200956383,0.11652336909143497,0.18896642110099882
HCL-INSYS,0.2676636440758732,0.17375012512130023,0.10102887624814112,0.27477900136944133
HCLTECH,0.08027173229451831,-0.1898560058417233,0.05954489374633318,-0.13031111209539012
HDFCBANK,0.055371764130848246,-0.1656242786208134,0.047970449349618104,-0.11765382927119528
HEIDELBERG,0.1423407130939084,-0.1329781889739453,0.07540976711008773,-0.05756842186385758
HERITGFOOD,0.18470189083563587,-0.15744965940772374,0.0828349844945639,-0.07461467491315983
HEROMOTOCO,0.08664463677627127,-0.039206551526161544,0.06109731559202516,0.021890764065863613
HEXATRADEX,0.2840109862850579,-0.04171565520828394,0.10845569997251849,0.06674004476423454
HGM,0.3801685718855759,0.07944851373913225,0.11569439721151971,0.19514291095065195
HIKAL,0.17508051614991751,-0.1718449983952515,0.08089535521575711,-0.09094964317949439
HIMATSEIDE,0.2125151016752678,-0.06669053096187925,0.09027096806316813,0.023580437101288876
HINDALCO,0.16823811345740067,-0.05551447861463902,0.08586047557710297,0.03034599696246395
HINDCOMPOS,0.18820741092732043,-0.03590000134617857,0.08210169979757981,0.046201698451401235
HINDCOPPER,0.22195429872894235,0.09397358991051817,0.09156919228330222,0.1855427821938204
HINDPETRO,0.19641987502085195,-0.10822361279300678,0.09429043966292415,-0.013933173130082632
HINDUNILVR,0.05637895118502987,-0.1840469210799601,0.04470599499930765,-0.13934092608065246
HINDZINC,0.11215782489663889,-0.0698257242354666,0.06932605332159887,-0.0004996709138677252
HITECHCORP,0.2892392112312127,-0.06899075785279533,0.10305159187068626,0.03406083401789092
HITECHGEAR,0.22655589687153974,-0.07148303504284928,0.09335493353111504,0.021871898488265762
HMVL,0.13124133495497065,0.09201315835870418,0.07320497290974703,0.1652181312684512
HONDAPOWER,0.14848335735395163,-0.14083507781836782,0.07031809325491259,-0.07051698456345523
HSCL,0.2776304391268796,-0.08171875227714007,0.10183148074759275,0.020112728470452687
HTMEDIA,0.17393058420520854,0.17437325330076062,0.0845743368954688,0.2589475901962294
HUBTOWN,0.2301911172287032,0.15397778164157663,0.09731891534676818,0.2512966969883448
HUHTAMAKI,0.12993880927702495,-0.10956212027407189,0.07051133599504017,-0.03905078427903172
IBULLSLTD,0.39129434476483643,-0.04504627042562491,0.12609164127363495,0.08104537084801004
ICICIBANK,0.1102012034495889,-0.12705248188447935,0.06794803020358199,-0.059104451680897355
ICIL,0.36422902895993986,-0.31966595741282694,0.1170304626187855,-0.20263549479404144
ICRA,0.08412932088176557,-0.1246322863430355,0.05258918520046991,-0.0720431011425656
IDBI,0.20496854978648985,0.09312116125202473,0.09289572113661797,0.1860168823886427
IFBAGRO,0.2759134749624836,-0.16587855893150924,0.09570396143225436,-0.07017459749925488
IFBIND,0.24785598417366075,-0.1607629675399309,0.09441544999666661,-0.0663475175432643
IFCI,0.2549515727685171,0.13784079317020925,0.09925380439868814,0.2370945975688974
IGL,0.11365108798486041,-0.1655854562123181,0.0714746062771974,-0.0941108499351207
IGPL,0.322365214856363,-0.229177630586566,0.1109606791257033,-0.11821695146086271
IIFL,0.27462544070346656,-0.15017885447034887,0.1141327806223501,-0.036046073847998766
IITL,0.2674695146015258,0.05126830125067139,0.10489509036801214,0.15616339161868353
IL&FSENGG,0.29306106027148,0.22246221326359386,0.1090915398753725,0.33155375313896635
IMFA,0.26117817811510613,-0.009740741464713844,0.09816173395580927,0.08842099249109542
IMPAL,0.09987821070416493,-0.09527020280424206,0.0601280014539122,-0.03514220135032986
INDBANK,0.35863989899634485,-0.060219565545704394,0.1081373255712052,0.04791776002550081
INDIACEM,0.21430572796437236,-0.060166298764198746,0.09470993857943567,0.03454363981523693
INDIANB,0.20711464751219724,-0.015568319238336077,0.09092028751965849,0.0753519682813224
INDORAMA,0.2790414336230328,0.0357843332070752,0.10362080790109819,0.1394051411081734
INDOTECH,0.27899934395102743,-0.010739327607168917,0.10052417193593301,0.08978484432876409
INDOWIND,0.3332883282381302,0.03724148946548689,0.11913781724860786,0.15637930671409475
