TVSMOTOR,CUMMINSIND,ADANIPOWER,BHARTIARTL,FORTIS,PERSISTENT,TORNTPHARM,MAXHEALTH,OIL,ABB,SUNPHARMA,NTPC,M&M,TRENT,BHEL,PRESTIGE,JINDALSTEL,TITAN,SBIN,TATAPOWER,ASHOKLEY,VEDL,EICHERMOT,NMDC,LT,JSWSTEEL,BAJAJ-AUTO,IOC,CHOLAFIN,HINDALCO,APOLLOHOSP,POWERGRID,TATASTEEL,INDIGO,OBEROIRLTY,ESCORTS,ONGC,ICICIBANK,HINDPETRO,SBILIFE,LUPIN,BOSCHLTD,ALKEM,GRASIM,ADANIENT,MARICO,SAIL,MARUTI,COFORGE,ADANIPORTS,HINDZINC,DLF,DIVISLAB,BAJAJFINSV,BRITANNIA,TATACONSUM,ULTRACEMCO,SIEMENS,HEROMOTOCO,AXISBANK,CIPLA,PIDILITIND,BAJFINANCE,AMBUJACEM,HDFCAMC,GODREJCP,AUROPHARMA,BPCL,ITC,DRREDDY,MOTHERSON,NESTLEIND,VOLTAS,MPHASIS,HCLTECH,PIIND,TECHM,RELIANCE,GODREJPROP,DMART,ICICIGI,HAVELLS,LTTS,COLPAL,ADANIGREEN,PAGEIND,CONCOR,BIOCON,UPL,WESTLIFE,RAMCOCEM,INDUSINDBK,HDFCBANK,WIPRO,KOTAKBANK,JUBLFOOD,INFY,HDFCLIFE,ASIANPAINT,HINDUNILVR
0.0,-0.023814911189048438,0.0,-0.0026236517345251675,0.0,-0.007068327162571442,-0.012270437185112892,-0.01866666666666661,-0.004548038658328646,-0.01594045272245248,-0.013200782268578903,0.0,-0.013320869362000387,-0.03502367235183379,0.0,-0.0185943364039578,0.0,0.0,0.0,-0.015011037527593807,-0.004269854824935915,0.0,0.0,0.0,-0.019980184940554868,0.0,-0.021820948110185756,-0.0033585222502098278,0.0,0.0,0.0,0.0,0.0,-0.0012019591934854246,0.0,-0.012602759569767974,-0.006404391582799707,-0.015256588072122046,0.0,0.0,0.0,0.0,-0.031584640346133064,0.0,0.0,-0.003935008885503799,0.0,-0.0009723513993404875,0.0,-0.012497424981116612,-0.003974167908594062,-0.013776337115072979,-0.028772369413875176,-0.024662774310448943,0.0,-0.012352702153596185,-0.011554424048868972,-0.026365152146727855,-0.026580117210933563,-0.00826005861977086,-0.0005583472920156485,-0.005803156917362995,-0.021582733812949617,-0.020207253886010412,-0.0186092066601371,-0.008085664335664267,-0.015266725611553289,0.0,0.0,-0.019033096125606996,0.0,0.0,0.0,0.0,0.0,-0.006115323889790747,0.0,-0.013447192775814631,-0.014309851384434968,-0.006582836691325644,-0.0042822185970635696,-0.003490164083038594,-0.0025713504148811017,-0.01439625142575307,0.0,-0.012301485837665882,-0.02869828893220705,-0.011119440279860004,0.0,0.0,0.0,0.0,-0.015077319587628923,0.0,-0.00852713178294573,-0.0029443930344073,-0.0009091900934647956,-0.00935565559932472,-0.019301642825910403,0.0
0.0,-0.004056324969577529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038683383414500616,-0.005284888521882802,-0.008597285067873384,-0.0018356229275224845,0.0,-0.024434389140271517,-0.045193811924213456,-0.007819687212511583,0.0,-0.013935920812711555,-0.01658449125952488,0.0,0.0,-0.0031467156155761122,0.0,-0.014793597304128103,-0.008611660654020636,-0.0027833490237813008,-0.006739679865206405,0.0,0.0,0.0,0.0,-0.0169721656483367,0.0,-0.016677841099564272,-0.009022556390977376,0.0,-0.014167357083678445,-0.0009917355371901193,-0.006467391304347925,-0.008516044038769155,-0.011427770884201216,-0.010573736922446897,0.0,0.0,0.0,-0.0215123859191656,0.0,0.0,-0.0023642305820178455,0.0,-0.0001643385373870654,-0.009601289944297875,-0.00779234183094224,0.0,0.0,0.0,0.0,-0.002875969849722604,-0.008933369156367554,-0.016387337057728213,0.0,0.0,0.0,-0.010645375914836941,-0.0002937504589851647,0.0,-0.0154686078252958,0.0,0.0,0.0,-0.005346958174904937,-0.02658670192670931,0.0,0.0,0.0,-9.740417863934869e-05,-0.003929957218187341,-0.005597145455817576,-0.012143144350623247,0.0,-0.009824880600409314,0.0,0.0,0.0,0.0,-0.0061322332478537245,-0.010233733417561619,-0.0017703387784663294,-0.012890289315382386,-0.01299214543298921,-0.0038030135271747145,-0.010728771424833083,0.0,-0.008079228563982244,-0.005146810664866774,0.0,-0.0015621671518852853,0.0,0.0
-0.02793202086488289,-0.023622505381974856,0.0,-0.012125878163795512,-0.048441123421798515,-0.034515566361858596,-0.021450542334466527,-0.023013565891472854,-0.02156640181611791,-0.0015949516313581436,-0.02913830317117705,-0.027384755819260587,-0.007000059322536556,-0.03143950544598184,-0.07050092764378468,0.0,-0.045742543656312806,-0.018921349811785948,-0.027473253203011527,-0.058340929808568864,-0.05156382079458999,-0.00831295843520774,-0.005279870727720293,-0.02579132473622492,-0.016520727869749563,-0.0080995421997887,-0.023218268138844422,-0.025445292620865145,-0.0204383612318505,-0.02246181491464505,-0.024680712600667065,-0.01833740831295838,-0.026933701657458564,0.0,-0.01951759993181612,-0.015396572782116258,-0.052583447645176085,-0.009160433649886612,-0.025479814692256797,-0.02746020458399423,-0.031082427751150887,-0.013135607517629988,-0.00974600188146757,-0.012545322697606887,-0.02662062820227218,-0.008357604153476084,-0.038640906062624825,-0.011978518383844117,-0.014202172096908994,-0.04056597198020495,-0.02831741850510361,-0.04289940828402372,0.0,-0.00920580433765017,-0.00607606546100703,-0.011954474740031085,-0.018027244181055502,-0.03328997318750171,-0.02044341611067968,-0.013351406302948177,-0.02543228575034706,0.0,-0.01741521539871682,-0.016459464191910356,-0.02017484868863484,-0.02916329978696841,-0.0019620667102682177,-0.050369685767097994,0.0,-0.02112478229114001,-0.004992058089403173,-0.01708278580814726,-0.029350409935477773,-0.02715507279870577,-0.019657483246463103,0.0,-0.006331888363937499,-0.021525245967137785,-0.022092450573418576,-0.018283946597199674,-0.01202237031579656,-0.024484358491432823,-0.068844618648639,-0.011652772182105475,-0.04549926217412692,0.0,-0.03230872784384109,-0.008935409752361512,-0.017815397017331702,-0.018185335654865464,-0.04809809809809806,-0.02488644051415867,-0.011109641581801277,-0.02259492196599111,-0.018129269574356344,-0.026460859977949114,0.0,-0.018846454732949325,-0.018492262821032224,-0.007909805931240355
-0.011597715077029669,0.0,0.0,0.0,0.0,0.0,-0.021134916039374785,-0.019092486982395185,-0.014501160092807441,-0.008647334606702639,-0.017443351859769196,-0.025809479117785084,0.0,0.0,0.0,0.0,0.0,-0.002954059284913879,-0.0028520983294851865,-0.02662149080348497,-0.035650623885918,-0.014546351084812725,0.0,-0.0072202166064982976,-0.006642785100685278,0.0,0.0,-0.010443864229765065,-0.0036820241691843947,0.0,-0.012911189697738079,0.0,0.0,0.0,0.0,-0.008044205540728488,0.0,-0.018490245971162,-0.01018675721561968,0.0,-0.02061906161230287,-0.027714999811951135,-0.000778993768049796,0.0,-0.003261242705115075,-0.015196015834503918,-0.01940401940401948,0.0,-0.025423728813559365,-0.012495459498728656,-0.02965096577431381,-0.010132234243517058,-0.031199123819672603,-0.009973753280839937,-0.008146140315464678,-0.01400513797961389,-0.0015643571948927848,-0.016202114513250043,-0.026969309669799935,-0.01257040802308007,-0.02201644758142851,-0.005569737758180482,0.0,0.0,-0.02333562113932741,-0.0005296610169490679,-0.037412129155248386,-0.012408759124087676,0.0,-0.03283016702060493,-0.01972633979475491,-0.015556635877491454,-0.013394642143142677,-0.027348853783109583,-0.040204567319864326,-0.034842739237118,-0.023381206803588017,-0.02256022866476115,-0.03154903230448247,0.0,-0.024981357196122267,-0.035552834808815215,-0.015621077835061392,-0.013075789407669847,-0.024435283002662622,-0.017467066285634658,0.0,0.0,-0.012967826657912185,-0.005221674876847215,-0.00467953099532048,-0.006095445760444074,-0.002942356560117765,-0.02240228789323173,-0.020337168852020193,-0.027441414757383042,-0.03597692862292723,-0.01297477529718749,-0.007594048577147516,-0.004985850963482141
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.061212477928193065,-0.00942338681426469,0.0,0.0,0.0,-0.02909554759156885,-0.0019193857965451588,0.0,0.0,-0.001873041819915544,0.0,0.0,0.0,0.0,-0.0011634016362680466,0.0,-0.011798893634899499,0.0,-0.00394323918679218,0.0,0.0,0.0,-0.008145469293946661,0.0,0.0,-0.03276258030756718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017873780684909413,0.0,0.0,0.0,0.0,-2.8114566859915868e-05,0.0,0.0,-0.010476689366160308,-0.002775850104094424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020937536349889485,0.0,-0.006838905775075954,0.0,0.0,0.0,-0.006775747841798796,0.0,-0.021024479031239496,-0.024484281289131937,-0.0011472275334608595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06952560166386057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.006591901378306453,-0.0023425734842992263,0.0,-0.003748558246828182,0.0,0.0,0.0,0.0,-0.006269592476489061,-0.017859037380203002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003514278890443312,-0.011181463020342064,0.0,-0.02333931777378817,0.0,0.0,-0.043817527010804325,-0.007936226749335695,0.0,0.0,0.0,0.0,0.0,-0.01005247733933079,-0.029773719730051607,0.0,0.0,0.0,0.0,-0.008591885441527447,-0.022500639222705066,0.0,-0.00716885408624679,0.0,-0.01223537348004311,-0.001638188848886446,0.0,0.0,0.0,-0.0020408163265306367,-0.0017290944746294334,-0.01600673967986521,0.0,-0.017998941238750787,0.0,0.0,-0.0036544674540542887,0.0,0.0,0.0,-0.0021706099413935087,-0.007717403905072695,-0.013838209982788285,0.0,0.0,-0.01191567369385882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02649400023761439,0.0,0.0,0.0,0.0,0.0,0.0,-0.009422553663206545,0.0,-0.02709184879910831,-0.0013921759710426862,-0.006465826907418926,0.0,-0.00047502929347309486,0.0,0.0,0.0,0.0,0.0,-0.008728046833422098,0.0,-0.043235497578812176,-0.018963675213675146,0.0,-0.006270447110141797,0.0,0.0,-0.012491829472002336,0.0,0.0
-0.001982075146501394,-0.0020685413987812096,0.0,0.0,0.0,-0.014360645719814658,0.0,0.0,-0.006309148264984188,0.0,-0.005329949238578657,-0.010923987255348044,-0.00984701951819933,0.0,-0.008620689655172487,0.0,-0.016513475619255424,0.0,0.0,-0.00190930787589505,0.0,0.0,0.0,0.0,0.0,-0.007859869750729831,0.0,-0.027538726333907082,-0.018758765778400965,-0.023693892568064756,0.0,-0.020867430441898538,-0.00336247478143914,0.0,-0.013413313338331956,0.0,-0.02359171882522859,0.0,0.0,-0.001444123528104968,-0.0008368612779364737,-0.0020000278749529032,-0.00879586346377681,-0.0018817013420434625,0.0,-0.00398307194423686,-0.014314928425357865,0.0,-0.017979452054794565,0.0,-0.028032345013477178,0.0,0.0,-0.00010631511800984761,0.0,0.0,0.0,0.0,-0.009479780362835255,0.0,0.0,0.0,-0.0018552875695733162,0.0,0.0,-0.0059048030532152795,0.0,-0.00693116634799229,-0.016814159292035447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009705933329481664,-0.005259489259235806,0.0,0.0,0.0,-0.003729024238657508,0.0,-0.011381939224739512,0.0,0.0,0.0,0.0,-0.005486968449931462,0.0,0.0,0.0,-0.006348682854433574,-0.006756756756756577
-0.02132803730247801,-0.030252100840336138,0.0,-0.010587102983638075,-0.005264417324718829,-0.021286489279256027,-0.005982698682189369,-0.008547008547008517,-0.013968253968253852,-0.015565176942068937,-0.004337841286042421,-0.024390243902439046,-0.03936541762860357,-0.035328090439911475,-0.03671497584541061,0.0,-0.027720576587992984,-0.004814926271441311,-0.034478132546283735,-0.031563845050215145,-0.023679417122040025,-0.0017348203221808634,-0.015576727407270341,-0.04371584699453546,-0.025064976679602502,-0.010072430964237156,-0.02033520464338623,-0.025663716814159354,-0.020010720028586837,-0.04205607476635509,-0.009213540341053705,0.0,-0.05128205128205121,-0.02210380895993691,-0.028711366323256216,-0.03251675271888399,-0.0231755424063117,-0.03223055934515684,-0.029126213592232997,-0.020246968517076303,-0.002414149874365723,-0.02124487644105555,-0.008739172281039376,-0.01671824422864865,-0.031131897203325765,0.0,-0.024896265560165887,-0.01670551400243525,-0.01482127288578905,-0.04292194164240737,-0.019966722129783565,-0.046316496056385326,-0.00423347015832598,-0.021584263689526817,-0.00858928371258827,-0.007885191610156106,-0.011593722528858263,-0.025770413945706783,-0.011322852954556928,-0.0330572856067346,0.0,0.0,-0.020446096654275103,-0.0021349975365412277,-0.016229281767955794,-0.009923940601231473,0.0,-0.01564380264741272,-0.028127812781278183,-0.0049745554348448184,-0.047086801426872715,-0.014027095072533302,-0.016478577848796583,-0.0024454981956995026,-0.005301524188204176,0.0,-0.02140356068451943,-0.019248165644788373,-0.03187942769829133,-0.026605082405876668,-0.024545422939192818,-0.011955060495486891,-0.028216945724675813,-0.010160530003822221,-0.016975602329387773,-0.032627391871413614,-0.017798286090969118,0.0,-0.03868319254756458,-0.0028239383078092484,-0.01569802885592364,-0.03166506742083719,-0.014264764698040278,-0.010830324909747335,-0.016551724137931045,-0.021744691737017097,-0.012978017571360856,-0.01031380294053097,0.0,-0.008000684550549919
-0.014910887594847488,-0.011496244945118472,-0.04796163069544368,-0.030350194552529186,-0.03848929516478228,-0.047352584067993475,-0.006222041480276608,-0.020935960591133007,0.0,0.0,-0.016316418930462984,-0.028301886792452824,-0.024279023909292485,-0.034520094261511924,-0.033099297893681046,0.0,0.0,-0.02506467761986375,-0.012922050854522804,-0.02567901234567893,-0.022388059701492602,-0.004468718967229446,-0.030143010166688744,-0.026666666666666616,0.0,0.0,-0.028291545836744425,-0.04450499545867381,-0.020054694621695512,-0.011801730920535047,-0.037762022194821165,-0.021937086092715163,0.0,-0.040766902119071635,-0.04034081029386205,-0.04148215434692093,-0.028268551236749095,0.0,-0.024137931034482807,-0.01884864312478718,-0.019903200316080616,-0.02346104866642651,0.0,-0.010744130521289419,-0.04281047345068023,-0.006738208135762425,0.0,-0.03953327106507021,-0.025663716814159243,-0.026313927990379904,0.0,-0.025162766144641857,-0.00889074012898039,-0.01570310801999575,-0.026542293830824737,-0.022651406771578397,-0.02801571737878439,-0.001468022048029316,-0.03142628287063065,-0.01670441676104184,-0.007188347310675414,-0.016828262565474095,-0.028462998102466774,-0.03192890059249498,-0.014391014391014423,-0.005267778753292429,-0.01834433604019403,-0.02689486552567233,-0.020143551748089794,0.0,-0.027077614175193387,-0.016901750972762586,-0.02660438667749787,0.0,-0.01906421360118893,-0.004663673239192256,-0.023635538981000792,-0.027312323853446063,-0.04433603558361443,-0.02087127048606241,-0.010407384966318545,-0.002721220661839663,-0.0024213559593371237,-0.01518808121762072,-0.04998644829054866,-0.01989788294316064,-0.015771812080536907,-0.008952996766973476,-0.02168021680216814,-0.01644701012961558,-0.01987096774193553,-0.0009387712527382241,-0.010413849066810865,-0.027737226277372184,-0.010939691444600164,-0.015080195258019513,-0.01473684210526316,-0.014042867701404282,-0.01692210104151759,-0.035172086603985075
0.0,0.0,-0.05037783375314864,0.0,-0.006504878658994184,0.0,0.0,-0.0002515723270440917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007711833207386221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008463817181548872,0.0,-0.03038682335968257,0.0,0.0,0.0,0.0,0.0,0.0,-0.013403880070546714,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003536250248643569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013548466559920591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033081285444234165,0.0,0.0,0.0,0.0,-0.022622676468830316,0.0,-0.009392843132981832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01177861102054123,0.0,0.0,-0.008155583437892133,-0.017208092000335795,0.0,0.0,-0.0052724994779702605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
