stock,weight,mu_annual,w_mu,w_Cw_component
TVSMOTOR,0.27355257289053514,0.49321292266088446,0.13491966397674546,0.010363920350422294
PERSISTENT,0.24493310407632066,0.5788867011980421,0.14178851663293798,0.011114841305324571
TRENT,0.18850401044415827,0.5006372465806667,0.09437212875817662,0.007264124906373089
ADANIPOWER,0.12613913097282453,0.8656890531165373,0.10919726485280735,0.0088877755096483
PRESTIGE,0.16687118161616124,0.5832063287614374,0.09732032920644446,0.00763545952922133
TATAPOWER,0.0,0.4596270713208007,0.0,0.0
WESTLIFE,0.0,0.21544472552432956,0.0,0.0
HCLTECH,9.966679963030033e-17,0.17496145466155838,1.7437848244779415e-17,1.9891289909590275e-18
