Asset,Expected_Return_Annual
20MICRONS,0.10815146666109379
3MINDIA,0.16663017685211562
A2ZINFRA,-0.3127441533982553
AARTIDRUGS,0.25677109538522586
AARTIIND,0.3154212810321541
ABAN,-0.23361632654656006
ACC,0.04600074284748593
ACE,0.18913825018908698
ADANIENT,0.08955779728506157
ADFFOODS,0.2108132030926566
ADOR,0.13452107367625435
ADROITINFO,-0.11051181712873032
AEGISLOG,0.21891308247163876
AGI,0.09774356898568104
AHLUCONT,0.11621275104816245
AJANTPHARM,0.3577253487776829
AKSHOPTFBR,0.034830701603335144
AKZOINDIA,0.10539440832106162
ALEMBICLTD,0.1201332322679134
ALICON,0.21827762228946043
ALKALI,0.062486593935478445
ALKYLAMINE,0.42049089870375106
ALLCARGO,0.13161929559546376
ALLDIGI,0.25089929520995746
AMBIKCO,0.1693179770006163
AMBUJACEM,0.0863563083066731
AMDIND,0.0865398703791796
AMJLAND,0.042064137143501774
ANANTRAJ,0.07759624172820999
ANDHRSUGAR,0.1618026398957267
ANTELOPUS,-0.01793827547411477
APARINDS,0.21315337350493632
APCOTEXIND,0.30059995929964034
APOLLOTYRE,0.128136754174719
APTECHT,0.09826420150281497
ARCHIDPLY,0.13580941647236053
ARIES,0.023988733888077936
ASAHIINDIA,0.1525984523705344
ASAHISONG,0.06862721507104011
ASAL,0.13260846553012684
ASHAPURMIN,0.10387413628399474
ASHIANA,0.13626865527671994
ASHIMASYN,0.13018169389546774
ASHOKLEY,0.15369341742204023
ASIANHOTNR,-0.09669344100813612
ASIANTILES,0.02297187943070703
ASTEC,0.2791271675045457
ASTRAMICRO,0.161402968656438
ASTRAZEN,0.09032344554752694
ATLANTAA,-0.16948508280282445
AURIONPRO,0.039678276673445485
AUROPHARMA,0.13168226685288317
AUSOMENT,0.03465650807746322
AUTOAXLES,0.1539996632677669
AVTNPL,0.22972786890587552
AXISBANK,0.09924333356939892
BAGFILMS,-0.042093445688920345
BAJAJ-AUTO,0.0845412925170806
BAJAJCON,0.05069277635992792
BAJAJFINSV,0.26678385348216943
BAJAJHIND,-0.1290363514426294
BAJAJHLDNG,0.17722941064343603
BALAMINES,0.32791754478840907
BALKRISIND,0.28584757634800284
BALMLAWRIE,0.06770092809478434
BALPHARMA,0.0857482208566936
BALRAMCHIN,0.14633693796437147
BANARISUG,0.11975623312621618
BANCOINDIA,0.10820444615481703
BANKBARODA,-0.009189728524027607
BANKINDIA,-0.15919855106016406
BANSWRAS,0.05716841283883956
BASF,0.13175935561996072
BASML,0.008563435782045157
BATAINDIA,0.17762291730293822
BAYERCROP,0.13394850761586058
BBOX,0.14073329829842507
BBTC,0.19573757872331252
BEDMUTHA,-0.07876050172263559
BEL,0.14497491754304206
BEPL,0.08564167560884688
BERGEPAINT,0.2494375224373469
BFINVEST,0.13583700267905258
BFUTILITIE,-0.06813615332461598
BGRENERGY,-0.18327528635053145
BHARATFORG,0.13452489581558288
BHARTIARTL,0.07569456118153191
BHEL,-0.10664214717681177
BIL,0.10760394878896803
BIOCON,0.1195539062612585
BIRLACABLE,0.16069722224915692
BIRLACORPN,0.08858800630401661
BIRLANU,0.15575497316065987
BLISSGVS,0.09708781563237852
BLUESTARCO,0.12864068271462456
BOMDYEING,-0.012412702146716683
BOSCHLTD,0.09305139534832106
BPCL,0.12257642739016579
BPL,0.07883293053129548
BRIGADE,0.16692911732349586
BROOKS,0.021179560051940976
BSL,0.17310247754076735
CALSOFT,-0.07729736884988654
CANFINHOME,0.28649761053576417
CANTABIL,0.26032420385020905
CARBORUNIV,0.18163670506944996
CARERATING,-0.025225261213571337
CCL,0.283717065371208
CEATLTD,0.2194401322976269
CELEBRITY,-0.0192513553120562
CEMPRO,0.14694889910018974
CENTENKA,0.060963757331086575
CENTRALBK,-0.1434280909058101
CERA,0.31014362636856163
CESC,0.08007062982331019
CGPOWER,0.09906631681766467
CHENNPETRO,0.021491854533729815
CINELINE,0.07949922110737304
CIPLA,0.09035839137331947
