Method,Stock,Weight,Expected_Return_%,Sharpe_Ratio,Volatility_%,Scenario
Quantum,21STCENMGM,0.2206982064632575,152.8883391601166,5.702966029868243,26.10717622730718,2022_global_bear_phase
Quantum,RAJMET,0.1124264271849175,206.18193547045968,4.574710075782237,44.195573516402185,2022_global_bear_phase
Quantum,XPROINDIA,0.1093106087117915,359.1168515377381,5.954687909363591,59.63651780630285,2022_global_bear_phase
Quantum,SABEVENTS,0.1002773035309849,311.68345304298344,5.864395949081238,52.46635045015805,2022_global_bear_phase
Quantum,GATECHDVR,0.06414730250091,184.4498433102225,3.427864319295973,52.642061208328094,2022_global_bear_phase
Greedy,21STCENMGM,0.262832897151961,152.8883391601166,5.702966029868243,26.10717622730718,2022_global_bear_phase
Greedy,XPROINDIA,0.1277374622935807,359.1168515377381,5.954687909363591,59.63651780630285,2022_global_bear_phase
Greedy,RAJMET,0.1168686046752563,206.18193547045968,4.574710075782237,44.195573516402185,2022_global_bear_phase
Greedy,SABEVENTS,0.1061438773858165,311.68345304298344,5.864395949081238,52.46635045015805,2022_global_bear_phase
Greedy,JITFINFRA,0.0596860704829899,255.849342754528,4.170073680848488,60.394458714524205,2022_global_bear_phase
Classical,21STCENMGM,0.2745809501502206,152.8883391601166,5.702966029868243,26.10717622730718,2022_global_bear_phase
Classical,RAJMET,0.1211847925453272,206.18193547045968,4.574710075782237,44.195573516402185,2022_global_bear_phase
Classical,XPROINDIA,0.1174037802503712,359.1168515377381,5.954687909363591,59.63651780630285,2022_global_bear_phase
Classical,SABEVENTS,0.1047790241734749,311.68345304298344,5.864395949081238,52.46635045015805,2022_global_bear_phase
Classical,LLOYDSENGG,0.0707904436580864,325.10202538768584,5.356229244159218,59.94926855265511,2022_global_bear_phase
Quantum,TRANSWORLD,0.1420244042851146,308.19515049456123,5.124629090060541,58.96917517029338,china_bubble_burst_peak
Quantum,BOSCH-HCIL,0.099603141166054,207.96592966448247,3.611254878035248,55.92680009735695,china_bubble_burst_peak
Quantum,NORBTEAEXP,0.0952418853966185,58.48128850712051,1.243523998928998,42.20367966546743,china_bubble_burst_peak
Quantum,VIVIDHA,0.0921152498937516,274.21225154805273,3.6018663421444286,74.46479854340411,china_bubble_burst_peak
Quantum,MANGALAM,0.0720568651158468,282.92584889701016,3.5932205110907223,77.068982558198,china_bubble_burst_peak
Greedy,TRANSWORLD,0.1669942758062904,308.19515049456123,5.124629090060541,58.96917517029338,china_bubble_burst_peak
Greedy,VIVIDHA,0.1270473951905158,274.21225154805273,3.6018663421444286,74.46479854340411,china_bubble_burst_peak
Greedy,BOSCH-HCIL,0.1145036669512228,207.96592966448247,3.611254878035248,55.92680009735695,china_bubble_burst_peak
Greedy,BRITANNIA,0.0962190688533676,106.56871129145946,3.09871411320526,32.45498216917881,china_bubble_burst_peak
Greedy,MANGALAM,0.0875715943287532,282.92584889701016,3.5932205110907223,77.068982558198,china_bubble_burst_peak
Classical,TRANSWORLD,0.1994382624989246,308.19515049456123,5.124629090060541,58.96917517029338,china_bubble_burst_peak
Classical,ABBOTINDIA,0.1236098793693638,85.29327239482308,2.391837815448512,33.15160914451643,china_bubble_burst_peak
Classical,PIDILITIND,0.113545088712554,65.23039303079427,2.109176783251179,28.08223260427412,china_bubble_burst_peak
Classical,GILLETTE,0.1053631263775952,86.69458196885175,2.4338363363536786,33.15530332238635,china_bubble_burst_peak
Classical,SUNDARMFIN,0.0993018350975236,56.83179517980166,1.765540836095526,28.791061719204187,china_bubble_burst_peak
Quantum,SANGINITA,0.1488151743006522,127.55715320507056,2.935628932649468,41.40753344305087,covid_peak
Quantum,RELAXO,0.1376670235115087,83.2721589581195,3.1037213088091,24.896616438725573,covid_peak
Quantum,BBOX,0.0990256457296213,167.6402790357033,2.732586483416965,59.15285024522995,covid_peak
Quantum,ADANIGREEN,0.0808137875923795,208.57604355667095,3.4060302547900254,59.47570291596232,covid_peak
Quantum,NAVINFLUOR,0.0649935696723293,85.98731682613146,2.338294510424737,34.2075459141382,covid_peak
Greedy,SANGINITA,0.1656519305130288,127.55715320507056,2.935628932649468,41.40753344305087,covid_peak
Greedy,RELAXO,0.1479142415335075,83.2721589581195,3.1037213088091,24.896616438725573,covid_peak
Greedy,BBOX,0.1211274873396473,167.6402790357033,2.732586483416965,59.15285024522995,covid_peak
Greedy,ADANIGREEN,0.0924850571168292,208.57604355667095,3.4060302547900254,59.47570291596232,covid_peak
Greedy,NAVINFLUOR,0.0727962310574331,85.98731682613146,2.338294510424737,34.2075459141382,covid_peak
Classical,RELAXO,0.1700492807859466,83.2721589581195,3.1037213088091,24.896616438725573,covid_peak
Classical,SANGINITA,0.1340164481566072,127.55715320507056,2.935628932649468,41.40753344305087,covid_peak
Classical,RATNAMANI,0.1206041676233613,47.37535773098717,1.9021776698438764,21.751573676281826,covid_peak
Classical,ALKEM,0.08998203581076,39.3220082848888,1.464559160433121,22.75224462426928,covid_peak
Classical,PIIND,0.0868497744621356,59.81388194124402,1.892604070163959,28.43377692650848,covid_peak
Quantum,ASTRAZEN,0.1234930747259696,76.93018348505981,2.1179251814916475,33.4904103813072,european_debt_stress
Quantum,SHREECEM,0.1065335828894333,51.99471985969603,1.7110654451464276,26.88074847760131,european_debt_stress
Quantum,BALKRISIND,0.091466652446008,64.96386598620435,1.692298397421308,34.8424758163527,european_debt_stress
Quantum,BRITANNIA,0.0911883415066465,50.90346209555112,2.019334081667781,22.236767310174383,european_debt_stress
Quantum,HINDUNILVR,0.0678647699838883,35.01307892072321,1.193683115387776,24.30551169461597,european_debt_stress
Greedy,SHREECEM,0.1790432220309727,51.99471985969603,1.7110654451464276,26.88074847760131,european_debt_stress
Greedy,BRITANNIA,0.1290695135216242,50.90346209555112,2.019334081667781,22.236767310174383,european_debt_stress
Greedy,ASTRAZEN,0.1276762792295247,76.93018348505981,2.1179251814916475,33.4904103813072,european_debt_stress
Greedy,KAJARIACER,0.078724766290044,86.38638732847983,2.456620562308511,32.722345714203385,european_debt_stress
Greedy,20MICRONS,0.0763192291581036,88.98935211897081,1.8037974087027349,46.00813357341252,european_debt_stress
Classical,SHREECEM,0.165686374570589,51.99471985969603,1.7110654451464276,26.88074847760131,european_debt_stress
