scenario,train_start,train_end,test_start,test_end,quantum_total_return_pct,greedy_total_return_pct,classical_total_return_pct
Horizon_6M_Train_60M,2020-09-12,2025-09-11,2025-09-12,2026-03-11,-14.999272418440167,-10.175937324861273,-10.856213261015979
Horizon_12M_Train_60M,2020-03-12,2025-03-11,2025-03-12,2026-03-11,16.952848197155525,3.6341768022220444,-2.146801993348302
Horizon_24M_Train_60M,2019-03-12,2024-03-11,2024-03-12,2026-03-11,7.768179847856671,7.426331304526768,19.509720371706795
Horizon_36M_Train_60M,2018-03-12,2023-03-11,2023-03-12,2026-03-11,72.79726138550242,67.98482375025631,56.23660768196261
