Stock,Weight,Annual Return (%),Annual Risk (%),Sharpe Ratio,Weight × Annual Return
AJANTPHARM,0.1189748858534588,20.410448219199772,28.823762640833433,0.5346438773877644,2.4283307470972244
RELAXO,0.1134057187881798,-18.841277801497082,25.87189496289367,-0.9215126234738905,-2.136708651966553
ALKYLAMINE,0.0911733820215554,-8.607171802230095,33.89419876626672,-0.40146019960715706,-0.7847449628498839
AARTIIND,0.0847478136102677,-7.808615063845215,34.41246964995322,-0.3722085393502882,-0.661763053985083
PIIND,0.0675482623940963,6.123783084838519,28.234912167231585,0.03980118932839254,0.41365090665920073
VINATIORGA,0.0675256168520399,-0.5186833872387941,26.995209816638482,-0.2044319501394413,-0.035024415674205056
POLYMED,0.0641972027576905,9.915667781019778,38.93564041550006,0.12625110897271583,0.6365581350160257
NAVINFLUOR,0.0623307304237443,19.145955440734497,33.05704418994429,0.4279255991386427,1.1933813872814423
CERA,0.0614577685061649,2.8978733421216374,31.00035769325547,-0.06780975492859258,0.178096829020298
GARFIBRES,0.0590863162278841,4.3023637949044735,32.78975648836545,-0.021276041050901487,0.2542108277131252
KAJARIACER,0.0557144828973409,-0.8348303156564207,29.33190817377758,-0.1989243345877067,-0.046512139343821354
JKCEMENT,0.0475658634928801,12.194251401402667,29.90119301290366,0.2406008147667565,0.5800300975569811
BERGEPAINT,0.0470344024986847,-6.444566127571116,24.103104514007796,-0.4748170975618504,-0.30311631717356974
BALKRISIND,0.0393873151449612,6.067002677175215,29.1565292587364,0.03659566842495495,0.2389629464312235
AARTIDRUGS,0.019850238531051,-12.702588925373814,35.64015171804789,-0.49670352318981187,-0.252149420130557
