Stock,Weight,Annual Return (%),Annual Risk (%),Sharpe Ratio,Weight × Annual Return
AARTIIND,0.120000000009945,-7.808615063845215,34.41246964995322,-0.3722085393502882,-0.9370338077390824
HINDUNILVR,0.120000000009945,-0.4027518432886845,20.008764761402336,-0.27001925944528055,-0.04833022119864751
SUPREMEIND,0.1200000000099449,13.995057559873114,32.972434985332775,0.2728053770937576,1.679406907323953
PIIND,0.1200000000099448,6.123783084838519,28.234912167231585,0.03980118932839254,0.7348539702415221
EICHERMOT,0.1098497030115887,22.82543306888012,25.856480258991382,0.689399055491378,2.5073670437273767
SHREECEM,0.1046476260108729,-3.087614505298164,24.528094813278113,-0.32972860578311164,-0.3231115280161886
TORNTPHARM,0.1014241718960001,29.740551984178598,23.46614915636597,1.0543081363422984,3.016410856725257
PAGEIND,0.0900413556981022,2.465797185532659,25.20653925766625,-0.1005375148314577,0.22202372146192545
TCS,0.0697567385725341,-4.286819197640712,21.00005809794738,-0.44222826214697175,-0.29903452607754355
IGL,0.0239881312925369,-8.694507643352168,32.72472428577917,-0.4184758754194681,-0.20856499087269736
RAMCOCEM,0.0165183545018831,-0.2130870424207898,26.95601535711825,-0.19339234576612507,-0.003519847306464408
HDFCBANK,0.003773918976701,1.4744149482247781,20.56949795203015,-0.17139869237436867,0.005564322552637112
ESCORTS,3.141503705761677e-16,20.075201885846504,29.787807262181655,0.5060863242856366,6.30663211183006e-15
BATAINDIA,1.951239800420009e-16,-13.984196507846347,23.999111357718604,-0.7910374773831215,-2.7286520803004293e-15
JUBLFOOD,1.5456432148494331e-16,-4.524822980724097,31.15844045562052,-0.30568997810691,-6.993761938550989e-16
