Metric,Value
Total Number of Stocks,15
Portfolio Size (Stock Count),15
Total Exposure,1.0000
Portfolio Annual Return (%),1.1024
Portfolio Annual Risk (%),15.3692
Portfolio Sharpe Ratio,-0.2536
Diversification Ratio,6.5065
Top 3 Stock Exposure (%),32.3554
HHI (Herfindahl Index),0.0764
Max Weight (%),11.8975
Min Weight (%),1.9850
Average Weight (%),6.6667
