Stock_Rank,Stock_Symbol,Weight_Allocation_%,Total_Return_%,Annualized_Return_%,Annualized_Risk_%,Sharpe_Ratio,Max_Drawdown_%,Initial_Capital_USD,Initial_Capital_INR,Final_Value_USD,Final_Value_INR,Profit_Loss_USD,Profit_Loss_INR,Diversification_Ratio
1,AARTIDRUGS,0.0,-48.75054482057235,-12.702588925373803,35.64015171804789,-0.5214606844412475,-61.211009174311904,1000000,83000000.0,1312698.4982034229,108953975.3508841,312698.4982034229,25953975.3508841,0.934229530614811
2,AARTIIND,12.0000000009945,-32.97234125438243,-7.808615063845215,34.41246964995322,-0.3815579061810908,-70.60222212615098,1000000,83000000.0,1312698.4982034229,108953975.3508841,312698.4982034229,25953975.3508841,0.934229530614811
3,AJANTPHARM,0.0,149.41291985435515,20.410448219199772,28.823762640833433,0.47091743032352135,-30.75887124557607,1000000,83000000.0,1312698.4982034229,108953975.3508841,312698.4982034229,25953975.3508841,0.934229530614811
4,ALKYLAMINE,0.0,-35.781109518139395,-8.607171802230095,33.89419876626672,-0.4130594078344222,-71.74997025515657,1000000,83000000.0,1312698.4982034229,108953975.3508841,312698.4982034229,25953975.3508841,0.934229530614811
5,BALKRISIND,0.0,33.61994840928644,6.067002677175215,29.1565292587364,0.030527670428596523,-34.97616450229387,1000000,83000000.0,1312698.4982034229,108953975.3508841,312698.4982034229,25953975.3508841,0.934229530614811
6,BATAINDIA,1.9512398004200092e-14,-52.347745234774436,-13.984196507846347,23.999111357718604,-0.8360273932204015,-67.84625044851092,1000000,83000000.0,1312698.4982034229,108953975.3508841,312698.4982034229,25953975.3508841,0.934229530614811
7,BERGEPAINT,0.0,-27.948803747699415,-6.444566127571116,24.103104514007796,-0.4838216988440421,-40.253884572696954,1000000,83000000.0,1312698.4982034229,108953975.3508841,312698.4982034229,25953975.3508841,0.934229530614811
8,CERA,0.0,15.092589156492497,2.8978733421216374,31.00035769325547,-0.0691385912474783,-56.34065707335094,1000000,83000000.0,1312698.4982034229,108953975.3508841,312698.4982034229,25953975.3508841,0.934229530614811
9,EICHERMOT,10.984970301158869,175.01421800947884,22.82543306888012,25.856480258991382,0.6017598544103047,-25.92034697243175,1000000,83000000.0,1312698.4982034229,108953975.3508841,312698.4982034229,25953975.3508841,0.934229530614811
10,ESCORTS,3.141503705761677e-14,146.0145583601923,20.075201885846504,29.787807262181655,0.44631698373245265,-34.419503051637804,1000000,83000000.0,1312698.4982034229,108953975.3508841,312698.4982034229,25953975.3508841,0.934229530614811
11,GARFIBRES,0.0,23.032213575017437,4.3023637949044735,32.78975648836545,-0.024020186972317996,-38.52269812772503,1000000,83000000.0,1312698.4982034229,108953975.3508841,312698.4982034229,25953975.3508841,0.934229530614811
12,HDFCBANK,0.3773918976701,7.467783505154579,1.4744149482247781,20.56949795203015,-0.1719219829243664,-24.135480814779765,1000000,83000000.0,1312698.4982034229,108953975.3508841,312698.4982034229,25953975.3508841,0.934229530614811
13,HINDUNILVR,12.0000000009945,-1.9662093207845954,-0.4027518432886845,20.008764761402336,-0.2700599031087796,-30.880548987537548,1000000,83000000.0,1312698.4982034229,108953975.3508841,312698.4982034229,25953975.3508841,0.934229530614811
14,IGL,2.39881312925369,-36.08251473477399,-8.694507643352168,32.72472428577917,-0.4307423393963751,-47.66317213391946,1000000,83000000.0,1312698.4982034229,108953975.3508841,312698.4982034229,25953975.3508841,0.934229530614811
15,JKCEMENT,0.0,76.15180784682445,12.194251401402667,29.90119301290366,0.2175885439695995,-46.628159035634944,1000000,83000000.0,1312698.4982034229,108953975.3508841,312698.4982034229,25953975.3508841,0.934229530614811
16,JUBLFOOD,1.545643214849433e-14,-20.37519979809884,-4.524822980724097,31.15844045562052,-0.3090780455621654,-53.366845274263966,1000000,83000000.0,1312698.4982034229,108953975.3508841,312698.4982034229,25953975.3508841,0.934229530614811
17,KAJARIACER,0.0,-4.041212363709001,-0.8348303156564207,29.33190817377758,-0.19904380260100285,-49.64955912276737,1000000,83000000.0,1312698.4982034229,108953975.3508841,312698.4982034229,25953975.3508841,0.934229530614811
18,NAVINFLUOR,0.0,136.7873413449825,19.145955440734497,33.05704418994429,0.37867593713520975,-39.708671807348054,1000000,83000000.0,1312698.4982034229,108953975.3508841,312698.4982034229,25953975.3508841,0.934229530614811
19,PAGEIND,9.00413556981022,12.734026534844789,2.465797185532659,25.20653925766625,-0.10172411542847073,-42.41186114901161,1000000,83000000.0,1312698.4982034229,108953975.3508841,312698.4982034229,25953975.3508841,0.934229530614811
20,PIIND,12.000000000994481,33.97229202339342,6.123783084838519,28.234912167231585,0.03341958959268762,-36.865799401862176,1000000,83000000.0,1312698.4982034229,108953975.3508841,312698.4982034229,25953975.3508841,0.934229530614811
