Date,Classical,Quantum,Quantum_Rebalanced
2011-03-15,1.0,1.0,1.0
2011-03-16,1.0183087138860754,1.0152515221923648,1.0152515221923648
2011-03-17,1.0185797470028852,1.0104631652675018,1.0104631652675018
2011-03-18,1.0138690536298134,1.0119765864253374,1.0119765864253374
2011-03-21,1.0116865175260896,1.0140034880770412,1.0140034880770412
2011-03-22,1.0119920289083222,1.0216257678749718,1.0216257678749718
2011-03-23,1.0145652809846606,1.0257664579049102,1.0257664579049102
2011-03-24,1.0157456043728743,1.0306170811813802,1.0306170811813802
2011-03-25,1.0250170791470479,1.039776337697262,1.039776337697262
2011-03-28,1.0264845595694527,1.04811922933817,1.04811922933817
2011-03-29,1.027220007020591,1.0581653272947018,1.0581653272947018
2011-03-30,1.047518327636654,1.0776793918676477,1.0776793918676477
2011-03-31,1.042478553202715,1.0787439000245673,1.0787439000245673
2011-04-01,1.0518016871783007,1.0772858340943636,1.0772858340943636
2011-04-04,1.072278760003845,1.0808935249754767,1.0808935249754767
2011-04-05,1.0780036551556513,1.0818709573079168,1.0818709573079168
2011-04-06,1.0801740326404998,1.0825722880416773,1.0825722880416773
2011-04-07,1.0921372373270646,1.0836789865104721,1.0836789865104721
2011-04-08,1.0837526594840594,1.0830298610543434,1.0830298610543434
2011-04-11,1.1020278512293635,1.087409787230028,1.087409787230028
2011-04-13,1.107965785247667,1.0910975149785296,1.0910975149785296
2011-04-15,1.1076734044788477,1.0939343421016194,1.0939343421016194
2011-04-18,1.0993272538722199,1.0882670949407118,1.0882670949407118
2011-04-19,1.1016486396050416,1.0821799233417233,1.0821799233417233
2011-04-20,1.1153255945553362,1.0975290906822865,1.0975290906822865
2011-04-21,1.1231473042562783,1.1098964515974403,1.1098964515974403
2011-04-25,1.132849079946188,1.134728255132128,1.134728255132128
2011-04-26,1.1315308459661386,1.1303816643057782,1.1303816643057782
2011-04-27,1.1364013308601455,1.135341677537204,1.135341677537204
2011-04-28,1.1305817887359928,1.1296217133132247,1.1296217133132247
2011-04-29,1.1252764303513856,1.1287141374752727,1.1287141374752727
2011-05-02,1.1241996303598725,1.12095096987058,1.12095096987058
2011-05-03,1.1084125969420788,1.1077626396542037,1.1077626396542037
2011-05-04,1.1041161651765048,1.0958775497864854,1.0958775497864854
2011-05-05,1.1029494356074885,1.094910587243806,1.094910587243806
2011-05-06,1.103646564316436,1.0983171192365286,1.0983171192365286
2011-05-09,1.1044264702168411,1.116179697399316,1.116179697399316
2011-05-10,1.1045798012813204,1.1127797289342194,1.1127797289342194
2011-05-11,1.1112648639862504,1.121053763549772,1.121053763549772
2011-05-12,1.1054232378021656,1.118160809702351,1.118160809702351
2011-05-13,1.1169133587373883,1.1281747664974713,1.1281747664974713
2011-05-16,1.1288485828245516,1.1352300634788854,1.1352300634788854
2011-05-17,1.1220036909644453,1.1339984492478188,1.1339984492478188
2011-05-18,1.1174531883497312,1.1351888180011165,1.1351888180011165
2011-05-19,1.1156759810113528,1.1349168421977514,1.1349168421977514
2011-05-20,1.1196871344209334,1.139607393767767,1.139607393767767
2011-05-23,1.1084145827224696,1.136840482964316,1.136840482964316
2011-05-24,1.1032295351511259,1.1417826673641538,1.1417826673641538
2011-05-25,1.1034161191317444,1.1356027704541782,1.1356027704541782
2011-05-26,1.1045887848385596,1.1352050518893353,1.1352050518893353
2011-05-27,1.1153492796664393,1.1408700021609277,1.1408700021609277
2011-05-30,1.1201470755005818,1.1405163014839406,1.1405163014839406
2011-05-31,1.1344677252584128,1.1515601813746785,1.1515601813746785
2011-06-01,1.136439347667697,1.1558582137952718,1.1558582137952718
2011-06-02,1.136852308472935,1.1585231150309891,1.1585231150309891
2011-06-03,1.132976308672832,1.1498122914708218,1.1498122914708218
