Method,Stock,Weight,Expected_Return_%,Sharpe_Ratio,Volatility_%
Quantum,ASTRAZEN,0.12349307472596968,76.93018348505981,2.1179251814916475,33.4904103813072
Quantum,SHREECEM,0.1065335828894333,51.99471985969603,1.7110654451464276,26.88074847760131
Quantum,BALKRISIND,0.09146665244600802,64.96386598620435,1.692298397421308,34.8424758163527
Quantum,BRITANNIA,0.09118834150664655,50.90346209555112,2.019334081667781,22.236767310174383
Quantum,HINDUNILVR,0.06786476998388832,35.01307892072321,1.193683115387776,24.30551169461597
Greedy,SHREECEM,0.17904322203097273,51.99471985969603,1.7110654451464276,26.88074847760131
Greedy,BRITANNIA,0.1290695135216242,50.90346209555112,2.019334081667781,22.236767310174383
Greedy,ASTRAZEN,0.12767627922952476,76.93018348505981,2.1179251814916475,33.4904103813072
Greedy,KAJARIACER,0.07872476629004405,86.38638732847983,2.456620562308511,32.722345714203385
Greedy,20MICRONS,0.07631922915810367,88.98935211897081,1.8037974087027349,46.00813357341252
Classical,SHREECEM,0.16568637457058905,51.99471985969603,1.7110654451464276,26.88074847760131
Classical,ASTRAZEN,0.14771002766034969,76.93018348505981,2.1179251814916475,33.4904103813072
Classical,BRITANNIA,0.1460041242325878,50.90346209555112,2.019334081667781,22.236767310174383
Classical,KAJARIACER,0.09626617612802586,86.38638732847983,2.456620562308511,32.722345714203385
Classical,CRISIL,0.09108056790913749,50.18310863895237,1.6329747637249734,27.056822689755734
