Method,Stock,Weight,Expected_Return_%,Sharpe_Ratio,Volatility_%
Quantum,TRANSWORLD,0.1420244042851146,308.19515049456123,5.124629090060541,58.96917517029338
Quantum,BOSCH-HCIL,0.09960314116605408,207.96592966448247,3.6112548780352483,55.926800097356946
Quantum,NORBTEAEXP,0.09524188539661856,58.48128850712051,1.2435239989289981,42.20367966546743
Quantum,VIVIDHA,0.09211524989375168,274.21225154805273,3.6018663421444286,74.46479854340411
Quantum,MANGALAM,0.0720568651158468,282.92584889701016,3.5932205110907223,77.068982558198
Greedy,TRANSWORLD,0.1669942758062904,308.19515049456123,5.124629090060541,58.96917517029338
Greedy,VIVIDHA,0.12704739519051586,274.21225154805273,3.6018663421444286,74.46479854340411
Greedy,BOSCH-HCIL,0.11450366695122284,207.96592966448247,3.6112548780352483,55.926800097356946
Greedy,BRITANNIA,0.09621906885336766,106.56871129145946,3.09871411320526,32.45498216917881
Greedy,MANGALAM,0.08757159432875328,282.92584889701016,3.5932205110907223,77.068982558198
Classical,TRANSWORLD,0.19943826249892466,308.19515049456123,5.124629090060541,58.96917517029338
Classical,ABBOTINDIA,0.12360987936936384,85.29327239482308,2.391837815448512,33.15160914451643
Classical,PIDILITIND,0.11354508871255403,65.23039303079427,2.109176783251179,28.08223260427412
Classical,GILLETTE,0.1053631263775952,86.69458196885175,2.4338363363536786,33.15530332238635
Classical,SUNDARMFIN,0.0993018350975236,56.83179517980166,1.765540836095526,28.791061719204187
