Method,Stock,Weight,Expected_Return_%,Sharpe_Ratio,Volatility_%
Quantum,SANGINITA,0.1488151743006522,127.55715320507055,2.9356289326494673,41.40753344305087
Quantum,RELAXO,0.13766702351150878,83.2721589581195,3.1037213088091002,24.896616438725573
Quantum,BBOX,0.09902564572962137,167.6402790357033,2.7325864834169655,59.15285024522995
Quantum,ADANIGREEN,0.08081378759237959,208.57604355667098,3.4060302547900254,59.475702915962316
Quantum,NAVINFLUOR,0.06499356967232939,85.98731682613146,2.3382945104247366,34.2075459141382
Greedy,SANGINITA,0.1656519305130288,127.55715320507055,2.9356289326494673,41.40753344305087
Greedy,RELAXO,0.1479142415335075,83.2721589581195,3.1037213088091002,24.896616438725573
Greedy,BBOX,0.1211274873396473,167.6402790357033,2.7325864834169655,59.15285024522995
Greedy,ADANIGREEN,0.09248505711682925,208.57604355667098,3.4060302547900254,59.475702915962316
Greedy,NAVINFLUOR,0.07279623105743313,85.98731682613146,2.3382945104247366,34.2075459141382
Classical,RELAXO,0.1700492807859466,83.2721589581195,3.1037213088091002,24.896616438725573
Classical,SANGINITA,0.13401644815660724,127.55715320507055,2.9356289326494673,41.40753344305087
Classical,RATNAMANI,0.12060416762336133,47.37535773098717,1.9021776698438764,21.751573676281826
Classical,ALKEM,0.08998203581076006,39.3220082848888,1.464559160433121,22.75224462426928
Classical,PIIND,0.08684977446213564,59.81388194124402,1.892604070163959,28.43377692650848
