Method,Stock,Weight,Expected_Return_%,Sharpe_Ratio,Volatility_%
Quantum,21STCENMGM,0.22069820646325752,152.8883391601166,5.702966029868243,26.10717622730718
Quantum,RAJMET,0.11242642718491755,206.18193547045968,4.574710075782237,44.195573516402185
Quantum,XPROINDIA,0.1093106087117915,359.1168515377381,5.954687909363591,59.63651780630285
Quantum,SABEVENTS,0.10027730353098496,311.68345304298344,5.864395949081238,52.46635045015805
Quantum,GATECHDVR,0.06414730250091003,184.44984331022252,3.427864319295973,52.642061208328094
Greedy,21STCENMGM,0.26283289715196106,152.8883391601166,5.702966029868243,26.10717622730718
Greedy,XPROINDIA,0.1277374622935807,359.1168515377381,5.954687909363591,59.63651780630285
Greedy,RAJMET,0.11686860467525632,206.18193547045968,4.574710075782237,44.195573516402185
Greedy,SABEVENTS,0.10614387738581656,311.68345304298344,5.864395949081238,52.46635045015805
Greedy,JITFINFRA,0.059686070482989934,255.849342754528,4.170073680848488,60.394458714524205
Classical,21STCENMGM,0.27458095015022066,152.8883391601166,5.702966029868243,26.10717622730718
Classical,RAJMET,0.12118479254532726,206.18193547045968,4.574710075782237,44.195573516402185
Classical,XPROINDIA,0.11740378025037121,359.1168515377381,5.954687909363591,59.63651780630285
Classical,SABEVENTS,0.1047790241734749,311.68345304298344,5.864395949081238,52.46635045015805
Classical,LLOYDSENGG,0.0707904436580864,325.10202538768584,5.356229244159218,59.94926855265511
