Date,classical,quantum,quantum_rebalanced
2021-03-15,0.0012530318870442527,-0.00500211703095913,-0.00500211703095913
2021-03-16,0.018058735049742276,0.01052997627114558,0.01052997627114558
2021-03-17,-0.020410396899429764,-0.011906598940698938,-0.011906598940698938
2021-03-18,-0.0015113198780725874,0.003545820592770433,0.003545820592770433
2021-03-19,0.015083998322324044,0.018769098654754634,0.018769098654754634
2021-03-22,0.011284619453318193,0.013214686914224843,0.013214686914224843
2021-03-23,0.0071212308005249685,0.008136108605306289,0.008136108605306289
2021-03-24,-0.010847817416168332,-0.0075330702739865195,-0.0075330702739865195
2021-03-25,-0.021219292503749782,-0.024696386516603122,-0.024696386516603122
2021-03-26,0.00804230367613581,0.008489938332789458,0.008489938332789458
2021-03-30,0.016811055039213974,0.009666415845059447,0.009666415845059447
2021-03-31,-0.0005623603474697608,-0.002310059739537691,-0.002310059739537691
2021-04-01,0.012669424833788741,0.015460572930209677,0.015417625330772558
2021-04-05,0.012187515986889946,0.012229143958396332,0.011287525399303562
2021-04-06,0.0011182733339272833,0.01219953441197665,0.011504731435159676
2021-04-07,0.003436970552139306,0.004843195206578547,0.004869108002689391
2021-04-08,-0.004929103591067283,-0.0054691214156709625,-0.005083470293282927
2021-04-09,0.0009554290580706591,0.0023467573614642493,0.002564796174243008
2021-04-12,-0.032674079274766114,-0.03761465175262321,-0.03757009728140266
2021-04-13,0.002772505072751174,0.010870059351069146,0.011752809497188951
2021-04-15,0.006651702261309099,0.006029621455222265,0.006153959881190839
2021-04-16,0.007257527015018552,0.008154337018243864,0.008105110020288363
2021-04-19,-0.01200220722369248,-0.008964402715821542,-0.008696088068769602
2021-04-20,0.0036752102749908378,0.0028433155966513545,0.002931652925979539
2021-04-22,-0.004834538355935026,-0.004503667287427637,-0.004249969455976389
2021-04-23,-0.007785301983033894,-0.0064034314789518446,-0.006664720416208745
2021-04-26,0.009241712503709714,0.00854761833902037,0.00872684717501008
2021-04-27,0.014050424834171217,0.015067239245500208,0.014855837853888164
2021-04-28,0.029248995828925407,0.009019700663072608,0.008344246795245619
2021-04-29,-0.0032150017667333507,-0.0042508215854237304,-0.004865003961233705
