Month,Classical,Quantum,Quantum+Rebal
2025-03-31,0.0,0.0,0.0
2025-04-30,5.934370645530751,-2.9233007107928866,-2.9233007107928866
2025-05-31,10.018688430011103,19.196758855437835,19.196758855437835
2025-06-30,12.527669604384473,38.38543922932887,41.662650016046854
2025-07-31,5.525527942144293,44.54488338170051,47.79259675577079
2025-08-31,5.506153399209035,42.63605788788281,45.02822835307079
2025-09-30,6.019918439782779,27.849143900530173,37.311562039694635
2025-10-31,9.941244833322127,35.315662905253745,43.61250654908937
2025-11-30,1.6127831609168863,31.795932860816876,39.68768880888787
2025-12-31,1.4622288035986086,35.855008959929435,48.931043984252966
2026-01-31,-4.547426760196382,23.52410682587802,41.41475726110677
2026-02-28,1.0463154247349449,32.097724731104236,52.29478934048419
2026-03-31,-2.4880492764930873,30.054917896775525,48.8671775530825
