Month,Classical,Quantum,Quantum+Rebal
2024-03-31,0.0,0.0,0.0
2024-04-30,6.164661957498452,0.8386458305358779,0.8386458305358779
2024-05-31,7.731654138362454,-1.3568859229267316,-1.3568859229267316
2024-06-30,15.290997582074638,2.3503817801829197,3.324495841422448
2024-07-31,18.987711481686496,9.284928554323614,11.884829741447579
2024-08-31,22.02177410775681,19.77599279421314,24.966590313972215
2024-09-30,17.080011761959767,20.20151469407663,26.311980429274584
2024-10-31,13.964792982625207,18.45668389175712,21.57697349777894
2024-11-30,14.24035207656198,16.715683845058305,23.024043271588333
2024-12-31,25.847261222978958,18.8400131695043,34.964623322214436
2025-01-31,20.45635325176991,13.798750672167204,20.886815430080862
2025-02-28,9.466489481307594,7.750187011237819,4.228917312183578
2025-03-31,15.543264960458103,18.574099767706343,5.125220825000909
2025-04-30,20.628970719881078,20.087200117699354,6.4909929616536965
2025-05-31,22.703724609262665,20.84776860389992,16.841489866958238
2025-06-30,28.421105176825414,31.194758566925262,22.843805539287644
2025-07-31,23.92949844477974,29.298993867217572,22.658994224259633
2025-08-31,21.243364139364317,23.01731337409778,19.12603359284404
2025-09-30,20.324513699753144,23.674266023770162,21.62479080407809
2025-10-31,26.906129058470786,28.480090658866185,18.137015605373463
2025-11-30,21.607680691486042,30.181061606014058,13.682803095547014
2025-12-31,16.764965586398883,26.505477906065057,13.731942286724141
2026-01-31,17.33361299860754,22.311481243288167,18.693450632950757
2026-02-28,17.290309099787482,29.728029310940695,12.04341371822073
2026-03-31,14.796214460521773,24.795955521531244,6.171450375990495
