Type,Scenario,Q_Stocks,M_Stocks,Q_Top3%,M_Top3%,Q_HHI,M_HHI,Q_Return%,M_Return%,Winner
Horizon,Horizon_6M_Train_60M,5,5,32.04265023471667,53.89075202143526,5.181789047352295,11.877941069749404,-14.999272418440167,-10.856213261015979,Markowitz
Horizon,Horizon_12M_Train_60M,5,5,51.2259224624681,64.25254896269269,11.490583304461788,15.643980334951745,16.952848197155525,-2.146801993348302,Quantum
Horizon,Horizon_24M_Train_60M,5,5,52.56012954172829,60.2531560442587,11.9784595261947,14.997771957457603,7.768179847856671,19.509720371706795,Markowitz
Horizon,Horizon_36M_Train_60M,5,5,52.550902812317204,58.54240744280135,12.681789360996346,14.818922692194214,72.79726138550242,56.23660768196261,Quantum
Crash,COVID Peak Crash,5,5,38.55078380999088,42.46698955437925,6.165927491778761,7.706218146172349,-21.418112051032224,-19.090364675210004,Markowitz
Crash,China Bubble Burst Peak,5,5,33.68694419758655,43.65932411218656,5.284014770845499,8.890975576618544,24.058486020368974,3.173842216737688,Quantum
Crash,European Debt Stress,5,5,32.14933081558843,45.940052646352655,4.7887033649134425,8.815027779965485,19.22594957511525,9.029205901446025,Quantum
Crash,2022 Global Bear Phase,5,5,44.24352652271128,51.316952492181315,8.74666285313018,11.985403202935299,-22.97703639147247,-24.780675820635157,Quantum
